Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2022-01,FHV - High Volume," 475,854 ",      -      ," 68,531 "," 66,855 "," 41,326 ", 19.20 , 6.30 , 18.90 , 6.20 , 17.00 ,-,0
2022-01,Green," 2,016 "," 32,510 "," 1,162 "," 1,136 ", 523 , 14.30 , 3.10 , 14.20 , 3.00 , 14.30 ,65%,0
2021-12,FHV - Black Car," 15,518 ",      -      ," 7,495 "," 7,420 "," 2,924 ", 12.20 , 4.00 , 12.20 , 4.00 , 27.00 ,-,-
2021-12,FHV - Livery," 26,708 ",      -      ," 5,359 "," 5,211 "," 3,404 ", 20.30 , 5.10 , 20.00 , 5.10 , 19.00 ,-,-
2021-12,FHV - Lux Limo," 1,081 ",      -      ," 1,493 "," 1,425 ", 503 , 10.90 , 2.10 , 10.70 , 2.10 , 66.00 ,-,-
2021-12,Yellow," 103,585 "," 1,903,870 "," 9,552 "," 6,908 "," 5,657 ", 25.40 , 9.00 , 21.50 , 7.70 , 15.20 ,77%,0
2021-12,FHV - High Volume," 517,884 ",       -       ," 70,302 "," 68,257 "," 44,289 ", 20.10 , 6.40 , 19.80 , 6.30 , 18.00 ,-,0
2021-12,Green," 3,223 "," 70,840 "," 1,299 "," 1,232 ", 705 , 17.80 , 3.60 , 17.10 , 3.60 , 19.50 ,69%,0
2021-11,FHV - Black Car," 11,915 ",       -       ," 5,048 "," 4,917 "," 2,260 ", 13.80 , 4.00 , 13.70 , 4.00 , 27.00 ,-,-
2021-11,FHV - Livery," 24,410 ",       -       ," 5,121 "," 4,962 "," 3,214 ", 19.40 , 5.10 , 19.20 , 5.00 , 18.00 ,-,-
2021-11,FHV - Lux Limo," 1,347 ",       -       ," 1,511 "," 1,432 ", 591 , 12.40 , 2.30 , 12.20 , 2.20 , 67.00 ,-,-
2021-11,Yellow," 115,660 "," 2,103,014 "," 9,516 "," 6,810 "," 5,763 ", 25.40 , 9.50 , 21.30 , 8.20 , 15.40 ,79%,0
2021-11,Green," 3,607 "," 82,076 "," 1,312 "," 1,270 ", 741 , 17.50 , 3.90 , 17.20 , 3.80 , 20.60 ,73%,0
2021-11,FHV - High Volume," 534,718 ",        -        ," 69,410 "," 67,433 "," 44,979 ", 20.00 , 6.50 , 19.70 , 6.40 , 19.00 ,-,0
2021-10,FHV - Livery," 26,531 ",        -        ," 5,637 "," 5,438 "," 3,467 ", 19.80 , 5.00 , 19.50 , 5.00 , 20.00 ,-,-
2021-10,FHV - Lux Limo," 1,126 ",        -        ," 1,378 "," 1,320 ", 522 , 12.30 , 2.10 , 11.80 , 2.10 , 70.00 ,-,-
2021-10,FHV - Black Car," 11,816 ",        -        ," 5,236 "," 5,109 "," 2,241 ", 13.60 , 4.00 , 13.50 , 3.90 , 28.00 ,-,-
