Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2020-04,FHV - Lux Limo, 148 ,           -           , 319 , 337 , 75 , 6.70 , 1.90 , 7.10 , 1.90 , 48.00 ,-,-
2020-04,Green," 1,186 "," 22,495 ", 669 , 669 , 278 , 12.50 , 3.40 , 12.60 , 3.40 , 14.50 ,66%,-
2020-04,Yellow," 7,928 "," 119,078 "," 2,208 "," 2,191 ", 982 , 13.50 , 5.30 , 13.80 , 5.10 , 9.90 ,63%,-
2020-03,FHV - Black Car," 13,708 ",           -           ," 8,345 "," 8,342 "," 2,917 ", 10.80 , 3.80 , 10.90 , 3.80 , 24.00 ,-,-
2020-03,FHV - High Volume," 432,027 ",           -           ," 76,604 "," 75,506 "," 35,735 ", 14.70 , 6.10 , 14.60 , 6.00 , 16.00 ,-,"41,051"
2020-03,FHV - Livery," 25,153 ",           -           ," 7,553 "," 7,315 "," 3,689 ", 15.60 , 5.00 , 15.40 , 4.90 , 16.00 ,-,-
2020-03,FHV - Lux Limo," 1,060 ",           -           ," 2,194 "," 2,063 ", 531 , 8.00 , 2.00 , 7.80 , 1.90 , 61.00 ,-,-
2020-03,Green," 7,205 "," 113,973 "," 2,692 "," 2,560 "," 1,248 ", 15.10 , 4.40 , 14.70 , 4.30 , 15.20 ,63%,-
2020-03,Yellow," 96,993 "," 1,620,345 "," 19,062 "," 11,313 "," 6,161 ", 16.90 , 8.80 , 13.20 , 6.70 , 13.00 ,75%,-
2020-02,FHV - Black Car," 20,412 ",           -           ," 8,415 "," 8,403 "," 4,238 ", 14.60 , 3.90 , 14.70 , 3.90 , 27.00 ,-,-
2020-02,FHV - High Volume," 749,129 ",           -           ," 79,282 "," 78,090 "," 55,139 ", 20.50 , 6.60 , 20.50 , 6.50 , 17.00 ,-,"97,117"
2020-02,FHV - Livery," 34,822 ",           -           ," 7,227 "," 6,969 "," 4,864 ", 20.20 , 5.30 , 19.90 , 5.20 , 17.00 ,-,-
2020-02,FHV - Lux Limo," 2,472 ",           -           ," 2,472 "," 2,343 "," 1,071 ", 13.30 , 2.30 , 13.10 , 2.20 , 63.00 ,-,-
2020-02,Green," 13,743 "," 240,822 "," 2,843 "," 2,674 "," 2,006 ", 21.80 , 5.00 , 20.90 , 4.90 , 15.40 ,44%,-
2020-02,Yellow," 217,216 "," 3,556,087 "," 20,123 "," 11,418 "," 10,349 ", 26.30 , 10.80 , 20.90 , 7.70 , 13.50 ,75%,-
2020-01,FHV - Black Car," 22,195 ",           -           ," 8,625 "," 8,634 "," 4,409 ", 15.80 , 4.00 , 15.90 , 4.00 , 25.00 ,-,-
2020-01,FHV - High Volume," 663,433 ",           -           ," 80,725 "," 79,288 "," 53,606 ", 21.00 , 6.20 , 20.90 , 6.10 , 17.00 ,-,"90,550"
2020-01,FHV - Livery," 35,036 ",           -           ," 7,548 "," 7,305 "," 4,905 ", 20.80 , 5.20 , 20.50 , 5.10 , 17.00 ,-,-
2020-01,FHV - Lux Limo," 2,079 ",           -           ," 2,162 "," 2,128 ", 908 , 13.20 , 2.30 , 13.40 , 2.20 , 59.00 ,-,-
2020-01,Green," 13,446 "," 236,992 "," 2,876 "," 2,703 "," 1,997 ", 22.90 , 5.00 , 22.00 , 4.90 , 15.30 ,44%,-
2020-01,Yellow," 206,604 "," 3,403,736 "," 20,131 "," 11,435 "," 10,080 ", 27.30 , 10.50 , 21.70 , 7.50 , 13.10 ,73%,-
2019-12,FHV - Black Car," 18,498 ",          -          ," 8,019 "," 7,994 "," 3,873 ", 15.00 , 3.80 , 15.10 , 3.80 , 29.00 ,-,-
2019-12,FHV - High Volume," 717,497 ",          -          ," 82,527 "," 80,924 "," 55,796 ", 21.40 , 6.50 , 21.00 , 6.40 , 18.00 ,-,"93,421"
2019-12,FHV - Livery," 38,401 ",          -          ," 7,936 "," 7,698 "," 5,316 ", 21.40 , 5.30 , 21.20 , 5.20 , 18.00 ,-,-
2019-12,FHV - Lux Limo," 2,555 ",          -          ," 2,548 "," 2,536 "," 1,069 ", 13.10 , 2.40 , 13.30 , 2.30 , 70.00 ,-,-
2019-12,Green," 11,598 "," 162,078 "," 2,904 "," 2,731 "," 1,834 ", 20.80 , 4.40 , 20.00 , 4.40 , 13.60 ,53%,-
2019-12,Yellow," 220,786 "," 3,806,944 "," 20,829 "," 11,478 "," 10,260 ", 27.70 , 10.70 , 21.70 , 7.50 , 15.00 ,71%,-
2019-11,FHV - Black Car," 16,612 ",           -             ," 7,237 "," 7,219 "," 3,645 ", 15.20 , 3.70 , 15.20 , 3.70 , 28.00 ,-,-
2019-11,FHV - High Volume," 721,170 ",           -             ," 83,017 "," 81,286 "," 57,241 ", 21.10 , 6.50 , 21.00 , 6.40 , 19.00 ,-,"103,379"
2019-11,FHV - Livery," 35,889 ",           -             ," 7,524 "," 7,293 "," 5,086 ", 20.90 , 5.20 , 20.70 , 5.10 , 18.00 ,-,-
2019-11,FHV - Lux Limo," 2,017 ",           -             ," 1,853 "," 1,776 ", 835 , 14.10 , 2.40 , 14.00 , 2.30 , 67.00 ,-,-
2019-11,Green," 12,068 "," 170,328 "," 2,969 "," 2,781 "," 1,904 ", 20.50 , 4.50 , 19.70 , 4.40 , 13.80 ,55%,-
2019-11,Yellow," 227,654 "," 3,872,769 "," 20,934 "," 11,431 "," 10,441 ", 27.40 , 11.00 , 21.70 , 7.60 , 14.80 ,73%,-
2019-10,FHV - Black Car," 16,245 ",           -             ," 7,120 "," 7,071 "," 3,757 ", 16.50 , 3.60 , 16.40 , 3.60 , 29.00 ,-,-
2019-10,FHV - High Volume," 682,635 ",            -              ," 83,865 "," 82,051 "," 57,764 ", 21.80 , 6.40 , 21.70 , 6.30 , 19.00 ,0%,"107,676"
2019-10,FHV - Livery," 38,855 ",           -             ," 8,217 "," 7,920 "," 5,503 ", 21.50 , 5.20 , 21.20 , 5.10 , 18.00 ,-,-
2019-10,FHV - Lux Limo," 3,105 ",           -             ," 2,682 "," 2,530 "," 1,256 ", 15.40 , 2.40 , 15.10 , 2.40 , 69.00 ,-,-
2019-10,Green," 12,470 "," 178,014 "," 3,004 "," 2,818 "," 1,990 ", 21.90 , 4.50 , 21.00 , 4.40 , 14.00 ,56%,-
2019-10,Yellow," 231,171 "," 4,006,128 "," 20,880 "," 11,380 "," 10,476 ", 28.50 , 11.20 , 22.50 , 7.70 , 15.10 ,73%,-
2019-09,FHV - Black Car," 12,373 ",           -             ," 5,499 "," 5,417 "," 2,846 ", 15.80 , 3.50 , 15.60 , 3.50 , 32.00 ,-,-
2019-09,FHV - High Volume," 668,520 ",            -              ," 84,306 "," 82,206 "," 56,795 ", 20.70 , 6.40 , 20.50 , 6.20 , 19.00 ,-,"107,780"
2019-09,FHV - Livery," 19,312 ",           -             ," 4,183 "," 3,979 "," 2,633 ", 19.90 , 5.30 , 19.20 , 5.20 , 21.00 ,-,-
2019-09,FHV - Lux Limo," 2,739 ",           -             ," 2,522 "," 2,402 "," 1,098 ", 13.70 , 2.50 , 13.50 , 2.40 , 75.00 ,-,-
2019-09,Green," 12,985 "," 190,621 "," 3,033 "," 2,856 "," 2,048 ", 21.50 , 4.60 , 20.60 , 4.50 , 14.30 ,55%,-
2019-09,Yellow," 217,747 "," 3,814,692 "," 20,369 "," 11,302 "," 10,066 ", 26.70 , 10.90 , 21.00 , 7.70 , 16.00 ,72%,-
2019-08,FHV - Black Car," 12,787 ",           -             ," 5,874 "," 5,845 "," 2,964 ", 15.70 , 3.40 , 15.70 , 3.40 , 32.00 ,-,-
2019-08,FHV - High Volume," 648,961 ",           -           ," 83,709 "," 82,693 "," 55,289 ", 20.80 , 6.30 , 20.80 , 6.20 , 18.00 ,-,"104,983"
2019-08,FHV - Livery," 38,815 ",           -             ," 8,104 "," 7,824 "," 5,441 ", 21.60 , 5.30 , 21.30 , 5.20 , 18.00 ,-,-
2019-08,FHV - Lux Limo," 2,099 ",           -             ," 2,389 "," 2,311 ", 969 , 13.00 , 2.10 , 12.90 , 2.10 , 73.00 ,-,-
2019-08,Green," 12,866 "," 188,318 "," 3,033 "," 2,841 "," 2,011 ", 22.00 , 4.60 , 20.90 , 4.60 , 13.90 ,54%,-
2019-08,Yellow," 194,798 "," 3,385,162 "," 19,583 "," 11,237 "," 9,741 ", 26.90 , 10.40 , 21.40 , 7.50 , 14.30 ,70%,-
2019-07,FHV - Black Car," 13,993 ",          -          ," 5,995 "," 5,968 "," 2,914 ", 15.10 , 3.70 , 15.10 , 3.70 , 29.00 ,-,-
2019-07,FHV - High Volume," 654,230 ",          -          ," 85,896 "," 84,609 "," 57,048 ", 21.00 , 6.20 , 20.90 , 6.10 , 18.00 ,-,"104,074"
2019-07,FHV - Livery," 41,492 ",          -          ," 8,474 "," 8,150 "," 5,682 ", 21.60 , 5.30 , 21.30 , 5.20 , 18.00 ,-,-
2019-07,FHV - Lux Limo," 2,013 ",          -          ," 2,105 "," 2,013 ", 881 , 13.60 , 2.30 , 13.40 , 2.20 , 73.00 ,-,-
2019-07,Green," 13,969 "," 205,934 "," 3,179 "," 2,985 "," 2,125 ", 22.10 , 4.70 , 21.10 , 4.60 , 14.20 ,55%,-
2019-07,Yellow," 202,443 "," 3,501,565 "," 20,206 "," 11,366 "," 9,894 ", 27.00 , 10.50 , 21.40 , 7.50 , 14.50 ,70%,-
2019-06,FHV - Black Car," 14,233 ",           -             ," 5,876 "," 5,858 "," 2,988 ", 15.30 , 3.70 , 15.30 , 3.70 , 29.00 ,-,-
2019-06,FHV - High Volume," 700,036 ",           -             ," 87,131 "," 85,712 "," 58,847 ", 20.70 , 6.30 , 20.60 , 5.80 , 19.00 ,-,"101,645"
2019-06,FHV - Livery," 43,938 ",           -             ," 8,569 "," 8,224 "," 5,856 ", 21.40 , 5.40 , 21.10 , 5.30 , 18.00 ,-,-
2019-06,FHV - Lux Limo," 2,276 ",           -             ," 2,124 "," 2,140 ", 993 , 13.90 , 2.30 , 14.10 , 2.30 , 71.00 ,-,-
2019-06,Green," 15,690 "," 235,578 "," 3,292 "," 3,080 "," 2,216 ", 21.60 , 5.00 , 20.70 , 4.80 , 15.00 ,55%,-
2019-06,Yellow," 231,335 "," 4,042,788 "," 20,728 "," 11,533 "," 10,274 ", 26.70 , 11.00 , 21.30 , 7.70 , 15.10 ,72%,-
2019-05,FHV - Black Car," 16,186 ",           -             ," 6,211 "," 6,171 "," 3,237 ", 16.30 , 3.90 , 16.20 , 3.80 , 27.00 ,-,-
2019-05,FHV - High Volume," 720,263 ",           -             ," 87,719 "," 86,391 "," 59,902 ", 21.60 , 6.20 , 21.50 , 6.20 , 19.00 ,-,"124,106"
2019-05,FHV - Livery," 44,781 ",           -             ," 8,581 "," 8,228 "," 5,868 ", 22.10 , 5.50 , 21.70 , 5.30 , 17.00 ,-,-
2019-05,FHV - Lux Limo," 2,657 ",           -             ," 2,245 "," 2,256 "," 1,100 ", 15.10 , 2.40 , 15.10 , 2.40 , 70.00 ,-,-
2019-05,Green," 16,248 "," 243,583 "," 3,393 "," 3,170 "," 2,351 ", 23.00 , 4.80 , 22.00 , 4.70 , 15.10 ,56%,-
2019-05,Yellow," 244,017 "," 4,214,808 "," 21,042 "," 11,689 "," 10,494 ", 27.80 , 11.20 , 22.30 , 7.70 , 14.90 ,72%,-
2019-04,FHV - Black Car," 15,660 ",           -             ," 5,824 "," 5,795 "," 3,126 ", 16.20 , 3.90 , 16.20 , 3.80 , 27.00 ,-,-
2019-04,FHV - High Volume," 724,388 ",          -            ," 87,779 "," 86,463 "," 59,121 ", 20.60 , 6.30 , 20.50 , 6.20 , 19.00 ,-,"141,734"
2019-04,FHV - Livery," 44,846 ",           -             ," 8,469 "," 8,175 "," 5,844 ", 21.40 , 5.50 , 21.10 , 5.40 , 17.00 ,-,-
2019-04,FHV - Lux Limo," 2,584 ",           -             ," 2,374 "," 2,391 "," 1,118 ", 14.00 , 2.30 , 14.10 , 2.30 , 67.00 ,-,-
2019-04,Green," 17,080 "," 249,506 "," 3,508 "," 3,249 "," 2,423 ", 22.40 , 4.90 , 21.20 , 4.80 , 14.30 ,57%,-
2019-04,Yellow," 247,742 "," 4,215,927 "," 21,595 "," 11,786 "," 10,674 ", 27.20 , 11.30 , 21.40 , 7.80 , 14.30 ,72%,-
2019-03,FHV - Black Car," 8,778 ",           -             ," 4,513 "," 4,498 "," 1,916 ", 13.20 , 3.50 , 13.30 , 3.50 , 23.00 ,-,-
2019-03,FHV - High Volume," 769,729 ",           -             ," 87,695 "," 86,540 "," 59,893 ", 21.60 , 6.40 , 21.50 , 6.40 , 19.00 ,-,"157,704"
2019-03,FHV - Livery," 32,099 ",           -             ," 8,216 "," 7,918 "," 4,737 ", 18.50 , 4.90 , 18.30 , 4.80 , 17.00 ,-,-
2019-03,FHV - Lux Limo," 1,513 ",           -             ," 1,786 "," 1,799 ", 698 , 12.00 , 2.10 , 12.00 , 2.10 , 62.00 ,-,-
2019-03,Green," 19,318 "," 305,302 "," 3,586 "," 3,296 "," 2,524 ", 23.70 , 5.40 , 22.30 , 5.20 , 15.80 ,60%,-
2019-03,Yellow," 252,634 "," 4,289,036 "," 21,956 "," 11,912 "," 10,814 ", 28.10 , 11.40 , 22.30 , 7.90 , 14.10 ,73%,-
2019-02,FHV - Black Car," 13,692 ",           -             ," 5,129 "," 5,103 "," 2,811 ", 15.40 , 3.80 , 15.40 , 3.80 , 28.00 ,-,-
2019-02,FHV - High Volume," 719,853 ",           -             ," 86,296 "," 85,403 "," 58,980 ", 19.50 , 6.30 , 19.40 , 6.20 , 18.00 ,-,"171,912"
2019-02,FHV - Livery," 44,638 ",           -             ," 8,776 "," 8,440 "," 5,992 ", 19.90 , 5.40 , 19.60 , 5.30 , 17.00 ,-,
2019-02,FHV - Lux Limo," 2,467 ",           -             ," 2,147 "," 2,142 "," 1,034 ", 13.50 , 2.40 , 13.60 , 2.30 , 65.00 ,-,
2019-02,Green," 20,481 "," 325,509 "," 3,626 "," 3,385 "," 2,651 ", 21.90 , 5.40 , 20.90 , 5.30 , 15.70 ,62%,-
2019-02,Yellow," 250,654 "," 4,105,322 "," 21,733 "," 11,895 "," 10,770 ", 25.40 , 11.30 , 20.10 , 7.80 , 13.60 ,74%,-
2019-01,FHV - Black Car," 15,024 ",           -             ," 6,111 "," 6,072 "," 3,156 ", 16.10 , 3.70 , 16.10 , 3.70 , 27.00 ,-,104
2019-01,FHV - High Volume," 683,692 ",           -             ," 86,715 "," 84,698 "," 56,530 ", 20.70 , 6.20 , 20.50 , 6.10 , 18.00 ,-,"157,678"
2019-01,FHV - Livery," 41,974 ",           -             ," 8,717 "," 8,368 "," 5,834 ", 21.60 , 5.30 , 21.10 , 5.20 , 17.00 ,-,30
2019-01,FHV - Lux Limo," 2,573 ",           -             ," 2,675 "," 2,533 "," 1,137 ", 13.90 , 2.20 , 13.70 , 2.20 , 63.00 ,-,-
2019-01,Green," 20,327 "," 309,210 "," 3,705 "," 3,442 "," 2,642 ", 23.80 , 5.40 , 22.60 , 5.30 , 15.00 ,62%, - 
2019-01,Yellow," 247,315 "," 3,413,625 "," 22,085 "," 11,867 "," 10,582 ", 27.60 , 11.10 , 21.50 , 7.70 , 12.80 ,72%, - 
2018-12,FHV - Black Car," 16,120 ",          -          ," 7,321 "," 7,286 "," 3,463 ", 14.70 , 3.60 , 14.80 , 3.60 , 30.00 ,-,128
2018-12,FHV - High Volume," 701,180 ",          -          ," 86,788 "," 85,146 "," 56,844 ", 20.70 , 6.30 , 20.60 , 6.20 , 20.00 ,-,"164,666"
2018-12,FHV - Livery," 48,951 ",          -          ," 9,682 "," 9,247 "," 6,460 ", 21.70 , 5.50 , 21.20 , 5.30 , 18.00 ,-,35
2018-12,FHV - Lux Limo," 3,025 ",          -          ," 3,083 "," 2,991 "," 1,260 ", 13.10 , 2.40 , 13.10 , 2.30 , 70.00 ,-,-
2018-12,Green," 22,083 "," 341,294 "," 3,777 "," 3,468 "," 2,720 ", 24.30 , 5.60 , 22.90 , 5.40 , 15.70 ,59%,-
2018-12,Yellow," 263,609 "," 3,852,809 "," 23,042 "," 11,938 "," 10,803 ", 28.10 , 11.50 , 21.70 , 7.70 , 14.70 ,68%,-
2018-11,FHV - Black Car," 17,791 ",          -          ," 7,362 "," 7,340 "," 3,891 ", 15.90 , 3.60 , 15.90 , 3.60 , 30.00 ,-,"17,734"
2018-11,FHV - High Volume," 691,379 ",          -          ," 85,496 "," 83,271 "," 56,908 ", 20.50 , 6.30 , 20.30 , 6.20 , 20.00 ,-,"160,672"
2018-11,FHV - Livery," 47,205 ",          -          ," 9,584 "," 9,195 "," 6,464 ", 21.10 , 5.40 , 20.70 , 5.20 , 18.00 ,-,36
2018-11,FHV - Lux Limo," 3,622 ",          -          ," 2,960 "," 2,832 "," 1,364 ", 14.50 , 2.50 , 14.20 , 2.40 , 71.00 ,-,-
2018-11,Green," 21,858 "," 344,302 "," 3,767 "," 3,490 "," 2,742 ", 23.60 , 5.50 , 22.30 , 5.40 , 16.40 ,61%,-
2018-11,Yellow," 271,501 "," 4,035,397 "," 23,459 "," 11,948 "," 11,040 ", 27.70 , 11.80 , 21.40 , 7.80 , 15.20 ,70%,-
2018-10,FHV - Black Car," 18,364 ",          -          ," 7,582 "," 7,476 "," 3,933 ", 16.30 , 3.60 , 16.30 , 3.60 , 34.00 ,-,158
2018-10,FHV - High Volume," 680,433 ",          -          ," 84,660 "," 82,247 "," 56,538 ", 21.30 , 6.30 , 21.00 , 6.20 , 21.00 ,-,"176,348"
2018-10,FHV - Livery," 44,990 ",          -          ," 9,558 "," 9,182 "," 6,382 ", 21.50 , 5.30 , 21.20 , 5.20 , 19.00 ,-,34
2018-10,FHV - Lux Limo," 3,467 ",          -          ," 2,835 "," 2,696 "," 1,384 ", 15.90 , 2.50 , 15.60 , 2.40 , 71.00 ,-,-
2018-10,Green," 22,889 "," 360,292 "," 3,827 "," 3,523 "," 2,796 ", 24.60 , 5.70 , 23.20 , 5.60 , 16.30 ,60%,-
2018-10,Yellow," 284,121 "," 4,267,309 "," 23,600 "," 12,009 "," 11,151 ", 28.80 , 12.00 , 22.20 , 7.90 , 15.20 ,71%,-
2018-09,FHV - Black Car," 15,159 ",          -          ," 6,183 "," 6,140 "," 3,232 ", 15.80 , 3.70 , 15.70 , 3.70 , 32.00 ,-,291
2018-09,FHV - High Volume," 658,952 ",          -          ," 82,782 "," 80,536 "," 53,842 ", 20.10 , 6.40 , 19.80 , 6.30 , 20.00 ,-,"148,283"
2018-09,FHV - Livery," 42,058 ",          -          ," 8,697 "," 8,414 "," 5,823 ", 20.80 , 5.30 , 20.40 , 5.20 , 18.00 ,-,35
2018-09,FHV - Lux Limo," 2,556 ",          -          ," 2,425 "," 2,271 "," 1,062 ", 14.00 , 2.40 , 13.60 , 2.30 , 69.00 ,-,-
2018-09,Green," 22,193 "," 345,939 "," 3,806 "," 3,503 "," 2,721 ", 23.30 , 5.60 , 21.90 , 5.50 , 15.80 ,58%,-
2018-09,Yellow," 267,983 "," 3,995,849 "," 23,055 "," 12,007 "," 10,741 ", 26.80 , 11.70 , 20.60 , 7.90 , 15.00 ,70%,-
2018-08,FHV - Black Car," 14,455 ",          -          ," 6,634 "," 6,609 "," 3,448 ", 16.20 , 3.40 , 16.20 , 3.40 , 32.00 ,-,16
2018-08,FHV - High Volume," 642,341 ",          -          ," 80,363 "," 78,545 "," 51,804 ", 20.40 , 6.40 , 20.30 , 6.30 , 20.00 ,-,"168,299"
2018-08,FHV - Livery," 46,411 ",          -          ," 9,603 "," 9,321 "," 6,418 ", 21.30 , 5.30 , 21.00 , 5.20 , 18.00 ,-,15
2018-08,FHV - Lux Limo," 2,211 ",          -          ," 2,516 "," 2,395 "," 1,027 ", 13.30 , 2.10 , 13.00 , 2.10 , 68.00 ,-,-
2018-08,Green," 21,468 "," 326,276 "," 3,788 "," 3,507 "," 2,646 ", 23.40 , 5.60 , 22.10 , 5.50 , 15.00 ,60%,-
2018-08,Yellow," 253,182 "," 3,742,832 "," 22,319 "," 11,961 "," 10,655 ", 27.60 , 11.30 , 21.40 , 7.80 , 14.10 ,70%,-
2018-07,FHV - Black Car," 13,614 ",          -          ," 6,242 "," 6,188 "," 3,086 ", 15.50 , 3.40 , 15.40 , 3.40 , 32.00 ,-,13
2018-07,FHV - High Volume," 630,977 ",          -          ," 79,945 "," 78,100 "," 51,565 ", 20.50 , 6.30 , 20.30 , 6.20 , 20.00 ,-,"163,171"
2018-07,FHV - Livery," 44,963 ",          -          ," 9,649 "," 9,396 "," 6,378 ", 21.00 , 5.30 , 20.80 , 5.20 , 18.00 ,-,18
2018-07,FHV - Lux Limo," 2,377 ",          -          ," 2,663 "," 2,488 "," 1,072 ", 13.40 , 2.20 , 12.80 , 2.10 , 69.00 ,-,-
2018-07,Green," 22,048 "," 331,003 "," 3,909 "," 3,588 "," 2,754 ", 23.80 , 5.50 , 22.40 , 5.40 , 14.80 ,56%,-
2018-07,Yellow," 253,186 "," 3,735,128 "," 23,142 "," 12,092 "," 10,788 ", 27.70 , 11.30 , 21.30 , 7.70 , 14.10 ,68%,-
2018-06,FHV - Black Car," 17,207 ",          -          ," 7,155 "," 7,119 "," 3,809 ", 16.10 , 3.50 , 16.00 , 3.50 , 34.00 ,-,-
2018-06,FHV - High Volume," 626,423 ",          -          ," 78,862 "," 77,460 "," 51,728 ", 20.00 , 6.30 , 19.90 , 6.20 , 20.00 ,-,"143,298"
2018-06,FHV - Livery," 55,453 ",          -          ," 10,655 "," 10,332 "," 7,357 ", 21.40 , 5.50 , 21.10 , 5.30 , 18.00 ,-,18
2018-06,FHV - Lux Limo," 3,433 ",          -          ," 3,135 "," 3,062 "," 1,431 ", 14.00 , 2.40 , 14.20 , 2.30 , 73.00 ,-,-
2018-06,Green," 24,610 "," 374,454 "," 3,976 "," 3,653 "," 2,858 ", 23.50 , 5.80 , 22.10 , 5.60 , 15.50 ,56%,-
2018-06,Yellow," 290,362 "," 4,283,693 "," 23,737 "," 12,222 "," 11,223 ", 27.50 , 11.90 , 21.40 , 7.90 , 14.70 ,70%,-
2018-05,FHV - Black Car," 16,826 ",          -          ," 7,268 "," 7,224 "," 3,906 ", 16.80 , 3.50 , 16.70 , 3.50 , 35.00 ,-,-
2018-05,FHV - High Volume," 620,950 ",          -          ," 77,775 "," 76,382 "," 51,355 ", 20.80 , 6.30 , 20.70 , 6.20 , 20.00 ,-,"148,036"
2018-05,FHV - Livery," 55,083 ",          -          ," 10,697 "," 10,368 "," 7,298 ", 21.80 , 5.40 , 21.60 , 5.30 , 19.00 ,-,15
2018-05,FHV - Lux Limo," 3,531 ",          -          ," 3,180 "," 3,141 "," 1,463 ", 14.40 , 2.40 , 14.70 , 2.30 , 72.00 ,-,-
2018-05,Green," 25,693 "," 386,965 "," 4,057 "," 3,707 "," 2,949 ", 24.70 , 5.80 , 23.10 , 5.70 , 15.50 ,57%,-
2018-05,Yellow," 297,508 "," 4,431,220 "," 24,330 "," 12,317 "," 11,396 ", 28.70 , 12.10 , 22.30 , 7.90 , 14.90 ,69%,-
2018-04,FHV - Black Car," 16,088 ",          -          ," 7,221 "," 7,176 "," 3,832 ", 16.00 , 3.50 , 16.00 , 3.40 , 34.00 ,-,-
2018-04,FHV - High Volume," 616,450 ",          -          ," 75,879 "," 74,273 "," 49,959 ", 20.20 , 6.30 , 20.00 , 6.20 , 20.00 ,-,"160,806"
2018-04,FHV - Livery," 57,501 ",          -          ," 11,472 "," 11,106 "," 7,768 ", 21.00 , 5.40 , 20.80 , 5.30 , 19.00 ,-,14
2018-04,FHV - Lux Limo," 3,362 ",          -          ," 3,289 "," 3,214 "," 1,446 ", 13.50 , 2.30 , 13.60 , 2.20 , 63.00 ,-,-
2018-04,Green," 26,642 "," 384,918 "," 4,081 "," 3,746 "," 2,976 ", 23.80 , 5.90 , 22.40 , 5.80 , 14.50 ,56%,-
2018-04,Yellow," 310,169 "," 4,486,177 "," 24,807 "," 12,372 "," 11,534 ", 28.00 , 12.40 , 21.50 , 8.10 , 14.20 ,70%,-
2018-03,FHV - Black Car," 16,422 ",          -          ," 7,535 "," 7,471 "," 3,988 ", 16.50 , 3.40 , 16.50 , 3.40 , 35.00 ,-,-
2018-03,FHV - High Volume," 624,601 ",          -          ," 74,288 "," 72,691 "," 49,102 ", 20.90 , 6.40 , 20.70 , 6.30 , 19.00 ,-,"157,162"
2018-03,FHV - Livery," 58,458 ",          -          ," 11,687 "," 11,313 "," 7,795 ", 21.40 , 5.40 , 21.10 , 5.30 , 19.00 ,-,12
2018-03,FHV - Lux Limo," 3,127 ",          -          ," 3,174 "," 3,077 "," 1,346 ", 13.60 , 2.30 , 13.60 , 2.20 , 64.00 ,-,-
2018-03,Green," 26,967 "," 374,253 "," 4,145 "," 3,773 "," 2,961 ", 24.30 , 5.90 , 22.70 , 5.80 , 13.90 ,55%,-
2018-03,Yellow," 304,169 "," 4,293,867 "," 24,991 "," 12,389 "," 11,480 ", 28.70 , 12.20 , 21.90 , 7.90 , 13.70 ,70%,-
2018-02,FHV - Black Car," 17,415 ",          -          ," 7,550 "," 7,529 "," 4,063 ", 15.10 , 3.50 , 15.10 , 3.50 , 33.00 ,-,-
2018-02,FHV - High Volume," 603,801 ",          -          ," 72,893 "," 71,731 "," 48,772 ", 19.00 , 6.30 , 18.90 , 6.30 , 19.00 ,-,"140,622"
2018-02,FHV - Livery," 58,545 ",          -          ," 12,653 "," 12,055 "," 8,242 ", 19.10 , 5.30 , 18.60 , 5.20 , 18.00 ,-,19
2018-02,FHV - Lux Limo," 3,240 ",          -          ," 3,273 "," 3,189 "," 1,399 ", 12.30 , 2.30 , 12.40 , 2.20 , 62.00 ,-,-
2018-02,Green," 27,461 "," 360,001 "," 4,260 "," 3,920 "," 3,058 ", 21.80 , 5.90 , 20.60 , 5.70 , 12.90 ,55%,-
2018-02,Yellow," 303,280 "," 4,138,935 "," 24,641 "," 12,490 "," 11,535 ", 25.90 , 12.10 , 19.90 , 8.00 , 13.10 ,71%,-
2018-01,FHV - Black Car," 15,445 ",          -          ," 7,464 "," 7,410 "," 3,778 ", 15.80 , 3.40 , 15.70 , 3.40 , 35.00 ,-,-
2018-01,FHV - High Volume," 555,031 ",          -          ," 72,719 "," 71,484 "," 46,403 ", 20.10 , 6.20 , 19.90 , 6.10 , 18.00 ,-,"126,738"
2018-01,FHV - Livery," 62,222 ",          -          ," 13,961 "," 12,751 "," 8,389 ", 20.40 , 5.40 , 19.00 , 5.30 , 17.00 ,-,15
2018-01,FHV - Lux Limo," 3,142 ",          -          ," 3,385 "," 3,299 "," 1,378 ", 13.00 , 2.20 , 13.10 , 2.20 , 63.00 ,-,-
2018-01,Green," 25,564 "," 331,105 "," 4,377 "," 4,021 "," 2,983 ", 23.00 , 5.70 , 21.60 , 5.50 , 12.80 ,53%,-
2018-01,Yellow," 282,565 "," 3,863,024 "," 24,923 "," 12,599 "," 11,304 ", 27.80 , 11.60 , 21.10 , 7.70 , 13.10 ,70%,-
2017-12,FHV - Black Car," 15,541 ",          -          ," 7,789 "," 7,703 "," 3,720 ", 15.00 , 3.40 , 14.90 , 3.40 , 35.00 ,-,-
2017-12,FHV - High Volume," 553,632 ",          -          ," 71,671 "," 70,194 "," 46,799 ", 20.70 , 6.30 , 20.50 , 6.20 , 20.00 ,-,"118,649"
